행정구역(동읍면)별,5세별,2019. 12,2019. 12,2019. 12
행정구역(동읍면)별,5세별,총인구수 (명),남자인구수 (명),여자인구수 (명)
　　　동작구,45 - 49세,"31,434","15,787","15,647"
　　　동작구,50 - 54세,"29,357","14,127","15,230"
　　　동작구,55 - 59세,"29,901","14,202","15,699"
　　　동작구,60 - 64세,"27,637","12,846","14,791"
　　　동작구,65 - 69세,"19,839","9,043","10,796"
　　　동작구,70 - 74세,"16,469","7,221","9,248"
　　　동작구,75 - 79세,"12,637","5,874","6,763"
　　　동작구,80 - 84세,"7,632","3,128","4,504"
　　　동작구,85 - 89세,"3,442","1,162","2,280"
　　　동작구,90 - 94세,"1,318",358,960
　　　동작구,95 - 99세,370,99,271
　　　동작구,100+,287,85,202
　　　관악구,계,"500,094","251,009","249,085"
　　　관악구,0 - 4세,"11,775","6,115","5,660"
　　　관악구,5 - 9세,"13,322","6,806","6,516"
　　　관악구,10 - 14세,"13,277","6,833","6,444"
　　　관악구,15 - 19세,"17,423","8,977","8,446"
　　　관악구,20 - 24세,"39,760","17,623","22,137"
　　　관악구,25 - 29세,"67,627","34,990","32,637"
　　　관악구,30 - 34세,"48,368","26,644","21,724"
　　　관악구,35 - 39세,"40,490","22,039","18,451"
　　　관악구,40 - 44세,"33,650","18,044","15,606"
　　　관악구,45 - 49세,"37,219","19,730","17,489"
　　　관악구,50 - 54세,"34,456","17,333","17,123"
　　　관악구,55 - 59세,"35,080","17,107","17,973"
　　　관악구,60 - 64세,"32,860","15,378","17,482"
　　　관악구,65 - 69세,"24,683","11,371","13,312"
　　　관악구,70 - 74세,"20,453","9,343","11,110"
　　　관악구,75 - 79세,"15,758","7,330","8,428"
　　　관악구,80 - 84세,"8,594","3,707","4,887"
　　　관악구,85 - 89세,"3,412","1,192","2,220"
　　　관악구,90 - 94세,"1,242",299,943
　　　관악구,95 - 99세,340,85,255
　　　관악구,100+,305,63,242
　　　서초구,계,"430,826","206,039","224,787"
　　　서초구,0 - 4세,"14,693","7,564","7,129"
　　　서초구,5 - 9세,"21,308","11,059","10,249"
　　　서초구,10 - 14세,"22,339","11,375","10,964"
　　　서초구,15 - 19세,"23,624","12,030","11,594"
　　　서초구,20 - 24세,"25,603","12,563","13,040"
　　　서초구,25 - 29세,"30,828","14,653","16,175"
　　　서초구,30 - 34세,"30,845","14,165","16,680"
　　　서초구,35 - 39세,"35,957","16,458","19,499"
　　　서초구,40 - 44세,"36,908","16,997","19,911"
　　　서초구,45 - 49세,"41,660","20,077","21,583"
　　　서초구,50 - 54세,"33,496","16,639","16,857"
　　　서초구,55 - 59세,"29,283","14,060","15,223"
　　　서초구,60 - 64세,"27,246","12,564","14,682"
　　　서초구,65 - 69세,"19,359","8,880","10,479"
　　　서초구,70 - 74세,"15,872","7,342","8,530"
　　　서초구,75 - 79세,"10,635","5,199","5,436"
　　　서초구,80 - 84세,"6,230","2,827","3,403"
　　　서초구,85 - 89세,"2,958","1,067","1,891"
　　　서초구,90 - 94세,"1,362",367,995
　　　서초구,95 - 99세,412,104,308
　　　서초구,100+,208,49,159
　　　강남구,계,"545,169","260,806","284,363"
